auction_date,type,term,cusip,reopening,offering_amount
2025-12-11,Bond,29-Year 11-Month,912810UP1,Yes,22000000000
2025-12-17,Bond,19-Year 11-Month,912810UQ9,Yes,13000000000
2025-12-22,Note,2-Year,91282CPS4,No,69000000000
2025-12-23,Note,5-Year,91282CPR6,No,70000000000
2025-12-24,Note,7-Year,91282CPQ8,No,44000000000
2026-01-12,Note,3-Year,91282CPT2,No,58000000000
2026-01-12,Note,9-Year 10-Month,91282CPJ4,Yes,39000000000
2026-01-13,Bond,29-Year 10-Month,912810UP1,Yes,22000000000
2026-01-21,Bond,19-Year 10-Month,912810UQ9,Yes,13000000000
2026-01-26,Note,2-Year,91282CGH8,Yes,69000000000
2026-01-27,Note,5-Year,91282CPW5,No,70000000000
2026-01-29,Note,7-Year,91282CPY1,No,44000000000
2026-02-10,Note,3-Year,91282CQA2,No,58000000000
2026-02-11,Note,10-Year,91282CPZ8,No,42000000000
2026-02-12,Bond,30-Year,912810UR7,No,25000000000
2026-02-18,Bond,20-Year,912810UT3,No,16000000000
2026-02-24,Note,2-Year,91282CQB0,No,69000000000
2026-02-25,Note,5-Year,91282CQD6,No,70000000000
2026-02-26,Note,7-Year,91282CQC8,No,44000000000
2026-03-10,Note,3-Year,91282CQE4,No,58000000000
2026-03-11,Note,9-Year 11-Month,91282CPZ8,Yes,39000000000
2026-03-12,Bond,29-Year 11-Month,912810UR7,Yes,22000000000
2026-03-17,Bond,19-Year 11-Month,912810UT3,Yes,13000000000
2026-03-24,Note,2-Year,91282CQH7,No,69000000000
2026-03-25,Note,5-Year,91282CQG9,No,70000000000
2026-03-26,Note,7-Year,91282CQF1,No,44000000000
2026-04-07,Note,3-Year,91282CQJ3,No,58000000000
2026-04-08,Note,9-Year 10-Month,91282CPZ8,Yes,39000000000
2026-04-09,Bond,29-Year 10-Month,912810UR7,Yes,22000000000
2026-04-22,Bond,19-Year 10-Month,912810UT3,Yes,13000000000
2026-04-27,Note,2-Year,91282CQL8,No,69000000000
2026-04-27,Note,5-Year,91282CQK0,No,70000000000
2026-04-28,Note,7-Year,91282CQN4,No,44000000000
2026-05-11,Note,3-Year,91282CQR5,No,58000000000
2026-05-12,Note,10-Year,91282CQQ7,No,42000000000
2026-05-13,Bond,30-Year,912810UU0,No,25000000000
2026-05-20,Bond,20-Year,912810UV8,No,16000000000
2026-05-26,Note,2-Year,91282CQS3,No,69000000000
2026-05-27,Note,5-Year,91282CQU8,No,70000000000
2026-05-28,Note,7-Year,91282CQT1,No,44000000000
2026-06-09,Note,3-Year,91282CQV6,No,58000000000
2026-06-10,Note,9-Year 11-Month,91282CQQ7,Yes,39000000000
2026-06-11,Bond,29-Year 11-Month,912810UU0,Yes,22000000000
2026-06-16,Bond,19-Year 11-Month,912810UV8,Yes,13000000000
2026-06-23,Note,2-Year,91282CQY0,No,69000000000
2026-06-24,Note,5-Year,91282CQX2,No,70000000000
2026-06-25,Note,7-Year,91282CQW4,No,44000000000
2026-07-07,Note,3-Year,91282CQZ7,No,58000000000
2026-07-08,Note,9-Year 10-Month,91282CQQ7,Yes,39000000000
2026-07-09,Bond,29-Year 10-Month,912810UU0,Yes,22000000000
2026-07-22,Bond,19-Year 10-Month,912810UV8,Yes,13000000000
2026-07-27,Note,2-Year,91282CRB9,No,69000000000
2026-07-27,Note,5-Year,91282CRA1,No,70000000000
2026-07-28,Note,7-Year,91282CRC7,No,44000000000
2026-08-11,Note,3-Year,91282CRG8,No,58000000000
2026-08-12,Note,10-Year,91282CRF0,No,42000000000
2026-08-13,Bond,30-Year,912810UW6,No,25000000000
2026-08-19,Bond,20-Year,912810UX4,No,16000000000
2026-08-25,Note,2-Year,91282CRH6,No,69000000000
2026-08-26,Note,5-Year,91282CRK9,No,70000000000
2026-08-27,Note,7-Year,91282CRJ2,No,44000000000
2026-09-08,Note,3-Year,91282CRL7,No,58000000000
2026-09-09,Note,9-Year 11-Month,91282CRF0,Yes,39000000000
2026-09-10,Bond,29-Year 11-Month,912810UW6,Yes,22000000000
2026-09-15,Bond,19-Year 11-Month,912810UX4,Yes,13000000000
2026-09-22,Note,2-Year,91282CRP8,No,69000000000
2026-09-23,Note,5-Year,91282CRN3,No,70000000000
2026-09-24,Note,7-Year,91282CRM5,No,44000000000
