auction_date,type,term,cusip,reopening,offering_amount
2008-11-12,Note,10-Year,912828JR2,No,20000000000
2008-11-13,Bond,29-Year 6-Month,912810PX0,Yes,10000000000
2008-11-24,Note,2-Year,912828JS0,No,36000000000
2008-11-25,Note,5-Year,912828JT8,No,26000000000
2008-12-10,Note,3-Year,912828KA7,No,28000000000
2008-12-11,Note,9-Year 11-Month,912828JR2,Yes,16000000000
2008-12-22,Note,2-Year,912828JV3,No,38000000000
2008-12-23,Note,5-Year,912828JW1,No,28000000000
2009-01-07,Note,3-Year,912828KB5,No,30000000000
2009-01-08,Note,9-Year 10-Month,912828JR2,Yes,16000000000
2009-01-27,Note,2-Year,912828JY7,No,40000000000
2009-01-29,Note,5-Year,912828JZ4,No,30000000000
2009-02-10,Note,3-Year,912828KC3,No,32000000000
2009-02-11,Note,10-Year,912828KD1,No,21000000000
2009-02-12,Bond,30-Year,912810QA9,No,14000000000
2009-02-24,Note,2-Year,912828KE9,No,40000000000
2009-02-25,Note,5-Year,912828KF6,No,32000000000
2009-02-26,Note,7-Year,912828KS8,No,22000000000
2009-03-10,Note,3-Year,912828KG4,No,34000000000
2009-03-11,Note,9-Year 11-Month,912828KD1,Yes,18000000000
2009-03-12,Bond,29-Year 11-Month,912810QA9,Yes,11000000000
2009-03-24,Note,2-Year,912828KH2,No,40000000000
2009-03-25,Note,5-Year,912828KJ8,No,34000000000
2009-03-26,Note,7-Year,912828KT6,No,24000000000
2009-04-08,Note,3-Year,912828KK5,No,35000000000
2009-04-09,Note,9-Year 10-Month,912828KD1,Yes,18000000000
2009-04-27,Note,2-Year,912828KL3,No,40000000000
2009-04-28,Note,5-Year,912828KN9,No,35000000000
2009-04-29,Note,7-Year,912828KR0,No,26000000000
2009-05-05,Note,3-Year,912828KP4,No,35000000000
2009-05-06,Note,10-Year,912828KQ2,No,22000000000
2009-05-07,Bond,30-Year,912810QB7,No,14000000000
2009-05-26,Note,2-Year,912828KU3,No,40000000000
2009-05-27,Note,5-Year,912828KV1,No,35000000000
2009-05-28,Note,7-Year,912828KW9,No,26000000000
2009-06-09,Note,3-Year,912828KX7,No,35000000000
2009-06-10,Note,9-Year 11-Month,912828KQ2,Yes,19000000000
2009-06-11,Bond,29-Year 11-Month,912810QB7,Yes,11000000000
2009-06-23,Note,2-Year,912828LF5,No,40000000000
2009-06-24,Note,5-Year,912828KY5,No,37000000000
2009-06-25,Note,7-Year,912828KZ2,No,27000000000
2009-07-07,Note,3-Year,912828LB4,No,35000000000
2009-07-08,Note,9-Year 10-Month,912828KQ2,Yes,19000000000
2009-07-09,Bond,29-Year 10-Month,912810QB7,Yes,11000000000
2009-07-28,Note,2-Year,912828LG3,No,42000000000
2009-07-29,Note,5-Year,912828LC2,No,39000000000
2009-07-30,Note,7-Year,912828LD0,No,28000000000
2009-08-11,Note,3-Year,912828LH1,No,37000000000
2009-08-12,Note,10-Year,912828LJ7,No,23000000000
2009-08-13,Bond,30-Year,912810QC5,No,15000000000
2009-08-25,Note,2-Year,912828LV0,No,42000000000
2009-08-26,Note,5-Year,912828LK4,No,39000000000
2009-08-27,Note,7-Year,912828LL2,No,28000000000
2009-09-08,Note,3-Year,912828LM0,No,38000000000
2009-09-09,Note,9-Year 11-Month,912828LJ7,Yes,20000000000
2009-09-10,Bond,29-Year 11-Month,912810QC5,Yes,12000000000
2009-09-22,Note,2-Year,912828LW8,No,43000000000
2009-09-23,Note,5-Year,912828LQ1,No,40000000000
2009-09-24,Note,7-Year,912828LP3,No,29000000000
2009-10-06,Note,3-Year,912828LR9,No,39000000000
2009-10-07,Note,9-Year 10-Month,912828LJ7,Yes,20000000000
2009-10-08,Bond,29-Year 10-Month,912810QC5,Yes,12000000000
2009-10-27,Note,2-Year,912828LT5,No,44000000000
2009-10-28,Note,5-Year,912828LS7,No,41000000000
2009-10-29,Note,7-Year,912828LU2,No,31000000000
2009-11-09,Note,3-Year,912828LX6,No,40000000000
2009-11-10,Note,10-Year,912828LY4,No,25000000000
2009-11-12,Bond,30-Year,912810QD3,No,16000000000
2009-11-23,Note,2-Year,912828MM9,No,44000000000
2009-11-24,Note,5-Year,912828LZ1,No,42000000000
2009-11-25,Note,7-Year,912828MA5,No,32000000000
2009-12-08,Note,3-Year,912828MB3,No,40000000000
2009-12-09,Note,9-Year 11-Month,912828LY4,Yes,21000000000
2009-12-10,Bond,29-Year 11-Month,912810QD3,Yes,13000000000
2009-12-28,Note,2-Year,912828ML1,No,44000000000
2009-12-29,Note,5-Year,912828ME7,No,42000000000
2009-12-30,Note,7-Year,912828MD9,No,32000000000
2010-01-12,Note,3-Year,912828MG2,No,40000000000
2010-01-13,Note,9-Year 10-Month,912828LY4,Yes,21000000000
2010-01-14,Bond,29-Year 10-Month,912810QD3,Yes,13000000000
2010-01-26,Note,2-Year,912828MJ6,No,44000000000
2010-01-27,Note,5-Year,912828MH0,No,42000000000
2010-01-28,Note,7-Year,912828MK3,No,32000000000
2010-02-09,Note,3-Year,912828MN7,No,40000000000
2010-02-10,Note,10-Year,912828MP2,No,25000000000
2010-02-11,Bond,30-Year,912810QE1,No,16000000000
2010-02-23,Note,2-Year,912828MQ0,No,44000000000
2010-02-24,Note,5-Year,912828MR8,No,42000000000
2010-02-25,Note,7-Year,912828MS6,No,32000000000
2010-03-09,Note,3-Year,912828MT4,No,40000000000
2010-03-10,Note,9-Year 11-Month,912828MP2,Yes,21000000000
2010-03-11,Bond,29-Year 11-Month,912810QE1,Yes,13000000000
2010-03-23,Note,2-Year,912828MU1,No,44000000000
2010-03-24,Note,5-Year,912828MW7,No,42000000000
2010-03-25,Note,7-Year,912828MV9,No,32000000000
2010-04-06,Note,3-Year,912828MX5,No,40000000000
2010-04-07,Note,9-Year 10-Month,912828MP2,Yes,21000000000
2010-04-08,Bond,29-Year 10-Month,912810QE1,Yes,13000000000
2010-04-27,Note,2-Year,912828NB2,No,44000000000
2010-04-28,Note,5-Year,912828MZ0,No,42000000000
2010-04-29,Note,7-Year,912828NA4,No,32000000000
2010-05-11,Note,3-Year,912828NC0,No,38000000000
2010-05-12,Note,10-Year,912828ND8,No,24000000000
2010-05-13,Bond,30-Year,912810QH4,No,16000000000
2010-05-25,Note,2-Year,912828NE6,No,42000000000
2010-05-26,Note,5-Year,912828NF3,No,40000000000
2010-05-27,Note,7-Year,912828NG1,No,31000000000
2010-06-08,Note,3-Year,912828NH9,No,36000000000
2010-06-09,Note,9-Year 11-Month,912828ND8,Yes,21000000000
2010-06-10,Bond,29-Year 11-Month,912810QH4,Yes,13000000000
2010-06-22,Note,2-Year,912828NS5,No,40000000000
2010-06-23,Note,5-Year,912828NL0,No,38000000000
2010-06-24,Note,7-Year,912828NK2,No,30000000000
2010-07-12,Note,3-Year,912828NN6,No,35000000000
2010-07-13,Note,9-Year 10-Month,912828ND8,Yes,21000000000
2010-07-14,Bond,29-Year 10-Month,912810QH4,Yes,13000000000
2010-07-27,Note,2-Year,912828NQ9,No,38000000000
2010-07-28,Note,5-Year,912828NP1,No,37000000000
2010-07-29,Note,7-Year,912828NR7,No,29000000000
2010-08-10,Note,3-Year,912828NU0,No,34000000000
2010-08-11,Note,10-Year,912828NT3,No,24000000000
2010-08-12,Bond,30-Year,912810QK7,No,16000000000
2010-08-24,Note,2-Year,912828PH7,No,37000000000
2010-08-25,Note,5-Year,912828NV8,No,36000000000
2010-08-26,Note,7-Year,912828NW6,No,29000000000
2010-09-07,Note,3-Year,912828NY2,No,33000000000
2010-09-08,Note,9-Year 11-Month,912828NT3,Yes,21000000000
2010-09-09,Bond,29-Year 11-Month,912810QK7,Yes,13000000000
2010-09-27,Note,2-Year,912828NX4,No,36000000000
2010-09-28,Note,5-Year,912828NZ9,No,35000000000
2010-09-29,Note,7-Year,912828PA2,No,29000000000
2010-10-12,Note,3-Year,912828PB0,No,32000000000
2010-10-13,Note,9-Year 10-Month,912828NT3,Yes,21000000000
2010-10-14,Bond,29-Year 10-Month,912810QK7,Yes,13000000000
2010-10-26,Note,2-Year,912828PD6,No,35000000000
2010-10-27,Note,5-Year,912828PE4,No,35000000000
2010-10-28,Note,7-Year,912828PF1,No,29000000000
2010-11-08,Note,3-Year,912828PU8,No,32000000000
2010-11-09,Note,10-Year,912828PC8,No,24000000000
2010-11-10,Bond,30-Year,912810QL5,No,16000000000
2010-11-22,Note,2-Year,912828PV6,No,35000000000
2010-11-23,Note,5-Year,912828PJ3,No,35000000000
2010-11-24,Note,7-Year,912828PK0,No,29000000000
2010-12-07,Note,3-Year,912828PL8,No,32000000000
2010-12-08,Note,9-Year 11-Month,912828PC8,Yes,21000000000
2010-12-09,Bond,29-Year 11-Month,912810QL5,Yes,13000000000
2010-12-27,Note,2-Year,912828PW4,No,35000000000
2010-12-28,Note,5-Year,912828PM6,No,35000000000
2010-12-29,Note,7-Year,912828PN4,No,29000000000
2011-01-11,Note,3-Year,912828PQ7,No,32000000000
2011-01-12,Note,9-Year 10-Month,912828PC8,Yes,21000000000
2011-01-13,Bond,29-Year 10-Month,912810QL5,Yes,13000000000
2011-01-25,Note,2-Year,912828PR5,No,35000000000
2011-01-26,Note,5-Year,912828PS3,No,35000000000
2011-01-27,Note,7-Year,912828PT1,No,29000000000
2011-02-08,Note,3-Year,912828QH6,No,32000000000
2011-02-09,Note,10-Year,912828PX2,No,24000000000
2011-02-10,Bond,30-Year,912810QN1,No,16000000000
2011-02-22,Note,2-Year,912828QK9,No,35000000000
2011-02-23,Note,5-Year,912828QJ2,No,35000000000
2011-02-24,Note,7-Year,912828PY0,No,29000000000
2011-03-08,Note,3-Year,912828PZ7,No,32000000000
2011-03-09,Note,9-Year 11-Month,912828PX2,Yes,21000000000
2011-03-10,Bond,29-Year 11-Month,912810QN1,Yes,13000000000
2011-03-28,Note,2-Year,912828QL7,No,35000000000
2011-03-29,Note,5-Year,912828QA1,No,35000000000
2011-03-30,Note,7-Year,912828QB9,No,29000000000
2011-04-12,Note,3-Year,912828QC7,No,32000000000
2011-04-13,Note,9-Year 10-Month,912828PX2,Yes,21000000000
2011-04-14,Bond,29-Year 10-Month,912810QN1,Yes,13000000000
2011-04-26,Note,2-Year,912828QE3,No,35000000000
2011-04-27,Note,5-Year,912828QF0,No,35000000000
2011-04-28,Note,7-Year,912828QG8,No,29000000000
2011-05-10,Note,3-Year,912828QM5,No,32000000000
2011-05-11,Note,10-Year,912828QN3,No,24000000000
2011-05-12,Bond,30-Year,912810QQ4,No,16000000000
2011-05-24,Note,2-Year,912828QZ6,No,35000000000
2011-05-25,Note,5-Year,912828QP8,No,35000000000
2011-05-26,Note,7-Year,912828QQ6,No,29000000000
2011-06-07,Note,3-Year,912828QS2,No,32000000000
2011-06-08,Note,9-Year 11-Month,912828QN3,Yes,21000000000
2011-06-09,Bond,29-Year 11-Month,912810QQ4,Yes,13000000000
2011-06-27,Note,2-Year,912828RA0,No,35000000000
2011-06-28,Note,5-Year,912828QR4,No,35000000000
2011-06-29,Note,7-Year,912828QT0,No,29000000000
2011-07-12,Note,3-Year,912828QU7,No,32000000000
2011-07-13,Note,9-Year 10-Month,912828QN3,Yes,21000000000
2011-07-14,Bond,29-Year 10-Month,912810QQ4,Yes,13000000000
2011-07-26,Note,2-Year,912828QW3,No,35000000000
2011-07-27,Note,5-Year,912828QX1,No,35000000000
2011-07-28,Note,7-Year,912828QY9,No,29000000000
2011-08-09,Note,3-Year,912828RB8,No,32000000000
2011-08-10,Note,10-Year,912828RC6,No,24000000000
2011-08-11,Bond,30-Year,912810QS0,No,16000000000
2011-08-23,Note,2-Year,912828RD4,No,35000000000
2011-08-24,Note,5-Year,912828RF9,No,35000000000
2011-08-25,Note,7-Year,912828RE2,No,29000000000
2011-09-12,Note,3-Year,912828RG7,No,32000000000
2011-09-13,Note,9-Year 11-Month,912828RC6,Yes,21000000000
2011-09-14,Bond,29-Year 11-Month,912810QS0,Yes,13000000000
2011-09-27,Note,2-Year,912828RK8,No,35000000000
2011-09-28,Note,5-Year,912828RJ1,No,35000000000
2011-09-29,Note,7-Year,912828RH5,No,29000000000
2011-10-11,Note,3-Year,912828RL6,No,32000000000
2011-10-12,Note,9-Year 10-Month,912828RC6,Yes,21000000000
2011-10-13,Bond,29-Year 10-Month,912810QS0,Yes,13000000000
2011-10-25,Note,2-Year,912828RN2,No,35000000000
2011-10-26,Note,5-Year,912828RM4,No,35000000000
2011-10-27,Note,7-Year,912828RP7,No,29000000000
2011-11-08,Note,3-Year,912828RQ5,No,32000000000
2011-11-09,Note,10-Year,912828RR3,No,24000000000
2011-11-10,Bond,30-Year,912810QT8,No,16000000000
2011-11-21,Note,2-Year,912828RS1,No,35000000000
2011-11-22,Note,5-Year,912828RU6,No,35000000000
2011-11-23,Note,7-Year,912828RT9,No,29000000000
2011-12-12,Note,3-Year,912828RV4,No,32000000000
2011-12-13,Note,9-Year 11-Month,912828RR3,Yes,21000000000
2011-12-14,Bond,29-Year 11-Month,912810QT8,Yes,13000000000
2011-12-19,Note,2-Year,912828RW2,No,35000000000
2011-12-20,Note,5-Year,912828RX0,No,35000000000
2011-12-21,Note,7-Year,912828RY8,No,29000000000
2012-01-10,Note,3-Year,912828RZ5,No,32000000000
2012-01-11,Note,9-Year 10-Month,912828RR3,Yes,21000000000
2012-01-12,Bond,29-Year 10-Month,912810QT8,Yes,13000000000
2012-01-24,Note,2-Year,912828SB7,No,35000000000
2012-01-25,Note,5-Year,912828SC5,No,35000000000
2012-01-26,Note,7-Year,912828SD3,No,29000000000
2012-02-07,Note,3-Year,912828SE1,No,32000000000
2012-02-08,Note,10-Year,912828SF8,No,24000000000
2012-02-09,Bond,30-Year,912810QU5,No,16000000000
2012-02-21,Note,2-Year,912828SG6,No,35000000000
2012-02-22,Note,5-Year,912828SJ0,No,35000000000
2012-02-23,Note,7-Year,912828SH4,No,29000000000
2012-03-12,Note,3-Year,912828SK7,No,32000000000
2012-03-13,Note,9-Year 11-Month,912828SF8,Yes,21000000000
2012-03-14,Bond,29-Year 11-Month,912810QU5,Yes,13000000000
2012-03-27,Note,2-Year,912828SL5,No,35000000000
2012-03-28,Note,5-Year,912828SM3,No,35000000000
2012-03-29,Note,7-Year,912828SN1,No,29000000000
2012-04-10,Note,3-Year,912828SP6,No,32000000000
2012-04-11,Note,9-Year 10-Month,912828SF8,Yes,21000000000
2012-04-12,Bond,29-Year 10-Month,912810QU5,Yes,13000000000
2012-04-24,Note,2-Year,912828SR2,No,35000000000
2012-04-25,Note,5-Year,912828SS0,No,35000000000
2012-04-26,Note,7-Year,912828ST8,No,29000000000
2012-05-08,Note,3-Year,912828SU5,No,32000000000
2012-05-09,Note,10-Year,912828SV3,No,24000000000
2012-05-10,Bond,30-Year,912810QW1,No,16000000000
2012-05-22,Note,2-Year,912828SW1,No,35000000000
2012-05-23,Note,5-Year,912828SY7,No,35000000000
2012-05-24,Note,7-Year,912828SX9,No,29000000000
2012-06-12,Note,3-Year,912828SZ4,No,32000000000
2012-06-13,Note,9-Year 11-Month,912828SV3,Yes,21000000000
2012-06-14,Bond,29-Year 11-Month,912810QW1,Yes,13000000000
2012-06-26,Note,2-Year,912828TA8,No,35000000000
2012-06-27,Note,5-Year,912828TB6,No,35000000000
2012-06-28,Note,7-Year,912828TC4,No,29000000000
2012-07-10,Note,3-Year,912828TD2,No,32000000000
2012-07-11,Note,9-Year 10-Month,912828SV3,Yes,21000000000
2012-07-12,Bond,29-Year 10-Month,912810QW1,Yes,13000000000
2012-07-24,Note,2-Year,912828TF7,No,35000000000
2012-07-25,Note,5-Year,912828TG5,No,35000000000
2012-07-26,Note,7-Year,912828TH3,No,29000000000
2012-08-07,Note,3-Year,912828TK6,No,32000000000
2012-08-08,Note,10-Year,912828TJ9,No,24000000000
2012-08-09,Bond,30-Year,912810QX9,No,16000000000
2012-08-28,Note,2-Year,912828TL4,No,35000000000
2012-08-29,Note,5-Year,912828TM2,No,35000000000
2012-08-30,Note,7-Year,912828TN0,No,29000000000
2012-09-11,Note,3-Year,912828TP5,No,32000000000
2012-09-12,Note,9-Year 11-Month,912828TJ9,Yes,21000000000
2012-09-13,Bond,29-Year 11-Month,912810QX9,Yes,13000000000
2012-09-25,Note,2-Year,912828TQ3,No,35000000000
2012-09-26,Note,5-Year,912828TS9,No,35000000000
2012-09-27,Note,7-Year,912828TR1,No,29000000000
2012-10-09,Note,3-Year,912828TT7,No,32000000000
2012-10-10,Note,9-Year 10-Month,912828TJ9,Yes,21000000000
2012-10-11,Bond,29-Year 10-Month,912810QX9,Yes,13000000000
2012-10-23,Note,2-Year,912828TU4,No,35000000000
2012-10-24,Note,5-Year,912828TW0,No,35000000000
2012-10-25,Note,7-Year,912828TV2,No,29000000000
2012-11-06,Note,3-Year,912828TX8,No,32000000000
2012-11-07,Note,10-Year,912828TY6,No,24000000000
2012-11-08,Bond,30-Year,912810QY7,No,16000000000
2012-11-27,Note,2-Year,912828TZ3,No,35000000000
2012-11-28,Note,5-Year,912828UA6,No,35000000000
2012-11-29,Note,7-Year,912828UB4,No,29000000000
2012-12-11,Note,3-Year,912828UC2,No,32000000000
2012-12-12,Note,9-Year 11-Month,912828TY6,Yes,21000000000
2012-12-13,Bond,29-Year 11-Month,912810QY7,Yes,13000000000
2012-12-17,Note,2-Year,912828UD0,No,35000000000
2012-12-18,Note,5-Year,912828UE8,No,35000000000
2012-12-19,Note,7-Year,912828UF5,No,29000000000
2013-01-08,Note,3-Year,912828UG3,No,32000000000
2013-01-09,Note,9-Year 10-Month,912828TY6,Yes,21000000000
2013-01-10,Bond,29-Year 10-Month,912810QY7,Yes,13000000000
2013-01-28,Note,2-Year,912828UK4,No,35000000000
2013-01-29,Note,5-Year,912828UJ7,No,35000000000
2013-01-30,Note,7-Year,912828UL2,No,29000000000
2013-02-12,Note,3-Year,912828UM0,No,32000000000
2013-02-13,Note,10-Year,912828UN8,No,24000000000
2013-02-14,Bond,30-Year,912810QZ4,No,16000000000
2013-02-25,Note,2-Year,912828UP3,No,35000000000
2013-02-26,Note,5-Year,912828UR9,No,35000000000
2013-02-27,Note,7-Year,912828UQ1,No,29000000000
2013-03-12,Note,3-Year,912828US7,No,32000000000
2013-03-13,Note,9-Year 11-Month,912828UN8,Yes,21000000000
2013-03-14,Bond,29-Year 11-Month,912810QZ4,Yes,13000000000
2013-03-26,Note,2-Year,912828UT5,No,35000000000
2013-03-27,Note,5-Year,912828UU2,No,35000000000
2013-03-28,Note,7-Year,912828UV0,No,29000000000
2013-04-09,Note,3-Year,912828UW8,No,32000000000
2013-04-10,Note,9-Year 10-Month,912828UN8,Yes,21000000000
2013-04-11,Bond,29-Year 10-Month,912810QZ4,Yes,13000000000
2013-04-23,Note,2-Year,912828UY4,No,35000000000
2013-04-24,Note,5-Year,912828UZ1,No,35000000000
2013-04-25,Note,7-Year,912828VA5,No,29000000000
2013-05-07,Note,3-Year,912828VC1,No,32000000000
2013-05-08,Note,10-Year,912828VB3,No,24000000000
2013-05-09,Bond,30-Year,912810RB6,No,16000000000
2013-05-28,Note,2-Year,912828VD9,No,35000000000
2013-05-29,Note,5-Year,912828VE7,No,35000000000
2013-05-30,Note,7-Year,912828VF4,No,29000000000
2013-06-11,Note,3-Year,912828VG2,No,32000000000
2013-06-12,Note,9-Year 11-Month,912828VB3,Yes,21000000000
2013-06-13,Bond,29-Year 11-Month,912810RB6,Yes,13000000000
2013-06-25,Note,2-Year,912828VH0,No,35000000000
2013-06-26,Note,5-Year,912828VK3,No,35000000000
2013-06-27,Note,7-Year,912828VJ6,No,29000000000
2013-07-09,Note,3-Year,912828VL1,No,32000000000
2013-07-10,Note,9-Year 10-Month,912828VB3,Yes,21000000000
2013-07-11,Bond,29-Year 10-Month,912810RB6,Yes,13000000000
2013-07-23,Note,2-Year,912828VN7,No,35000000000
2013-07-24,Note,5-Year,912828VQ0,No,35000000000
2013-07-25,Note,7-Year,912828VP2,No,29000000000
2013-08-06,Note,3-Year,912828VR8,No,32000000000
2013-08-07,Note,10-Year,912828VS6,No,24000000000
2013-08-08,Bond,30-Year,912810RC4,No,16000000000
2013-08-27,Note,2-Year,912828VU1,No,34000000000
2013-08-28,Note,5-Year,912828RE2,Yes,35000000000
2013-08-29,Note,7-Year,912828VV9,No,29000000000
2013-09-10,Note,3-Year,912828VW7,No,31000000000
2013-09-11,Note,9-Year 11-Month,912828VS6,Yes,21000000000
2013-09-12,Bond,29-Year 11-Month,912810RC4,Yes,13000000000
2013-09-24,Note,2-Year,912828VY3,No,33000000000
2013-09-25,Note,5-Year,912828RH5,Yes,35000000000
2013-09-26,Note,7-Year,912828VZ0,No,29000000000
2013-10-08,Note,3-Year,912828WA4,No,30000000000
2013-10-09,Note,9-Year 10-Month,912828VS6,Yes,21000000000
2013-10-10,Bond,29-Year 10-Month,912810RC4,Yes,13000000000
2013-10-28,Note,2-Year,912828WB2,No,32000000000
2013-10-29,Note,5-Year,912828WD8,No,35000000000
2013-10-30,Note,7-Year,912828WC0,No,29000000000
2013-11-12,Note,3-Year,912828WF3,No,30000000000
2013-11-13,Note,10-Year,912828WE6,No,24000000000
2013-11-14,Bond,30-Year,912810RD2,No,16000000000
2013-11-25,Note,2-Year,912828A26,No,32000000000
2013-11-26,Note,5-Year,912828A34,No,35000000000
2013-11-27,Note,7-Year,912828A42,No,29000000000
2013-12-10,Note,3-Year,912828A59,No,30000000000
2013-12-11,Note,9-Year 11-Month,912828WE6,Yes,21000000000
2013-12-12,Bond,29-Year 11-Month,912810RD2,Yes,13000000000
2013-12-17,Note,2-Year,912828A67,No,32000000000
2013-12-18,Note,5-Year,912828A75,No,35000000000
2013-12-19,Note,7-Year,912828A83,No,29000000000
2014-01-07,Note,3-Year,912828A91,No,30000000000
2014-01-08,Note,9-Year 10-Month,912828WE6,Yes,21000000000
2014-01-09,Bond,29-Year 10-Month,912810RD2,Yes,13000000000
2014-01-28,Note,2-Year,912828B41,No,32000000000
2014-01-30,Note,5-Year,912828B33,No,35000000000
2014-01-30,Note,7-Year,912828B58,No,29000000000
2014-02-11,Note,3-Year,912828B74,No,30000000000
2014-02-12,Note,10-Year,912828B66,No,24000000000
2014-02-13,Bond,30-Year,912810RE0,No,16000000000
2014-02-25,Note,2-Year,912828B82,No,32000000000
2014-02-26,Note,5-Year,912828C24,No,35000000000
2014-02-27,Note,7-Year,912828B90,No,29000000000
2014-03-11,Note,3-Year,912828C32,No,30000000000
2014-03-12,Note,9-Year 11-Month,912828B66,Yes,21000000000
2014-03-13,Bond,29-Year 11-Month,912810RE0,Yes,13000000000
2014-03-25,Note,2-Year,912828C40,No,32000000000
2014-03-26,Note,5-Year,912828C65,No,35000000000
2014-03-27,Note,7-Year,912828C57,No,29000000000
2014-04-08,Note,3-Year,912828C73,No,30000000000
2014-04-09,Note,9-Year 10-Month,912828B66,Yes,21000000000
2014-04-10,Bond,29-Year 10-Month,912810RE0,Yes,13000000000
2014-04-22,Note,2-Year,912828C81,No,32000000000
2014-04-23,Note,5-Year,912828D23,No,35000000000
2014-04-24,Note,7-Year,912828WG1,No,29000000000
2014-05-06,Note,3-Year,912828WH9,No,29000000000
2014-05-07,Note,10-Year,912828WJ5,No,24000000000
2014-05-08,Bond,30-Year,912810RG5,No,16000000000
2014-05-27,Note,2-Year,912828WM8,No,31000000000
2014-05-28,Note,5-Year,912828WL0,No,35000000000
2014-05-29,Note,7-Year,912828WN6,No,29000000000
2014-06-10,Note,3-Year,912828WP1,No,28000000000
2014-06-11,Note,9-Year 11-Month,912828WJ5,Yes,21000000000
2014-06-12,Bond,29-Year 11-Month,912810RG5,Yes,13000000000
2014-06-24,Note,2-Year,912828WQ9,No,30000000000
2014-06-25,Note,5-Year,912828WS5,No,35000000000
2014-06-26,Note,7-Year,912828WR7,No,29000000000
2014-07-08,Note,3-Year,912828WT3,No,27000000000
2014-07-09,Note,9-Year 10-Month,912828WJ5,Yes,21000000000
2014-07-10,Bond,29-Year 10-Month,912810RG5,Yes,13000000000
2014-07-28,Note,2-Year,912828WX4,No,29000000000
2014-07-29,Note,5-Year,912828WW6,No,35000000000
2014-07-30,Note,7-Year,912828WY2,No,29000000000
2014-08-12,Note,3-Year,912828D49,No,27000000000
2014-08-13,Note,10-Year,912828D56,No,24000000000
2014-08-14,Bond,30-Year,912810RH3,No,16000000000
2014-08-26,Note,2-Year,912828D64,No,29000000000
2014-08-27,Note,5-Year,912828D80,No,35000000000
2014-08-28,Note,7-Year,912828D72,No,29000000000
2014-09-09,Note,3-Year,912828D98,No,27000000000
2014-09-10,Note,9-Year 11-Month,912828D56,Yes,21000000000
2014-09-11,Bond,29-Year 11-Month,912810RH3,Yes,13000000000
2014-09-23,Note,2-Year,912828F47,No,29000000000
2014-09-24,Note,5-Year,912828F39,No,35000000000
2014-09-25,Note,7-Year,912828F21,No,29000000000
2014-10-07,Note,3-Year,912828F54,No,27000000000
2014-10-08,Note,9-Year 10-Month,912828D56,Yes,21000000000
2014-10-09,Bond,29-Year 10-Month,912810RH3,Yes,13000000000
2014-10-28,Note,2-Year,912828F88,No,29000000000
2014-10-29,Note,5-Year,912828F62,No,35000000000
2014-10-30,Note,7-Year,912828F96,No,29000000000
2014-11-10,Note,3-Year,912828G20,No,26000000000
2014-11-12,Note,10-Year,912828G38,No,24000000000
2014-11-13,Bond,30-Year,912810RJ9,No,16000000000
2014-11-24,Note,2-Year,912828G46,No,28000000000
2014-11-25,Note,5-Year,912828G61,No,35000000000
2014-11-26,Note,7-Year,912828G53,No,29000000000
2014-12-09,Note,3-Year,912828G79,No,25000000000
2014-12-10,Note,9-Year 11-Month,912828G38,Yes,21000000000
2014-12-11,Bond,29-Year 11-Month,912810RJ9,Yes,13000000000
2014-12-22,Note,2-Year,912828H29,No,27000000000
2014-12-23,Note,5-Year,912828G95,No,35000000000
2014-12-24,Note,7-Year,912828G87,No,29000000000
2015-01-12,Note,3-Year,912828H37,No,24000000000
2015-01-13,Note,9-Year 10-Month,912828G38,Yes,21000000000
2015-01-14,Bond,29-Year 10-Month,912810RJ9,Yes,13000000000
2015-01-28,Note,2-Year,912828H78,No,26000000000
2015-01-29,Note,5-Year,912828H52,No,35000000000
2015-01-29,Note,7-Year,912828H86,No,29000000000
2015-02-10,Note,3-Year,912828H94,No,24000000000
2015-02-11,Note,10-Year,912828J27,No,24000000000
2015-02-12,Bond,30-Year,912810RK6,No,16000000000
2015-02-24,Note,2-Year,912828J35,No,26000000000
2015-02-25,Note,5-Year,912828J50,No,35000000000
2015-02-26,Note,7-Year,912828J43,No,29000000000
2015-03-10,Note,3-Year,912828J68,No,24000000000
2015-03-11,Note,9-Year 11-Month,912828J27,Yes,21000000000
2015-03-12,Bond,29-Year 11-Month,912810RK6,Yes,13000000000
2015-03-24,Note,2-Year,912828J92,No,26000000000
2015-03-25,Note,5-Year,912828J84,No,35000000000
2015-03-26,Note,7-Year,912828J76,No,29000000000
2015-04-07,Note,3-Year,912828K25,No,24000000000
2015-04-08,Note,9-Year 10-Month,912828J27,Yes,21000000000
2015-04-09,Bond,29-Year 10-Month,912810RK6,Yes,13000000000
2015-04-27,Note,2-Year,912828K66,No,26000000000
2015-04-28,Note,5-Year,912828K58,No,35000000000
2015-04-29,Note,7-Year,912828WZ9,No,29000000000
2015-05-12,Note,3-Year,912828XA3,No,24000000000
2015-05-13,Note,10-Year,912828XB1,No,24000000000
2015-05-14,Bond,30-Year,912810RM2,No,16000000000
2015-05-26,Note,2-Year,912828SY7,Yes,26000000000
2015-05-27,Note,5-Year,912828XE5,No,35000000000
2015-05-28,Note,7-Year,912828XD7,No,29000000000
2015-06-09,Note,3-Year,912828XF2,No,24000000000
2015-06-10,Note,9-Year 11-Month,912828XB1,Yes,21000000000
2015-06-11,Bond,29-Year 11-Month,912810RM2,Yes,13000000000
